Player Name,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLROL,POSL,LPOPP,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Rade Krunic,MIL,SERI,M,25,705,5,20,3,3,0,0,1,2,0,1,1,8,5,10,3,1,8,2,6,0,2,15,12,11,20,231,266,1,9,36,5,49,0,0,3,1,0,5,4,1,0,0,5,0,393,14,59,48,137,1,5,1,60,14,0,0,0,0,1,0,2,1,5,1,1,1,9,1,0,0,0,0,1,0,0,8,8,0,5,1,0,2,1,0,10
Erik Lamela,TOT,EPL,F,23,704,5,18,5,4,1,1,1,0,2,0,0,21,9,6,23,3,9,2,6,2,1,17,9,24,10,281,338,0,6,40,25,58,0,0,9,5,1,12,4,0,0,0,13,0,524,27,87,77,184,1,34,0,129,10,0,0,0,0,3,0,16,13,6,4,2,0,17,0,0,0,0,0,0,0,0,1,1,0,8,1,0,0,0,0,40
Rayan Cherki,OL,FRAN,F/M,27,679,5,22,4,1,0,1,1,3,0,3,0,18,5,4,9,2,13,3,9,1,0,5,3,16,20,276,334,2,1,38,49,75,0,0,12,3,1,6,2,0,0,1,16,0,530,49,143,69,214,0,30,0,134,12,0,0,0,0,1,0,5,2,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,13,1,0,1,1,0,72
Christian Gebauer,DSC,BUND,F,23,675,5,18,4,0,0,0,1,1,0,1,0,10,4,6,9,0,11,1,10,0,1,9,4,7,9,112,166,0,8,40,2,28,0,0,7,3,1,3,1,0,0,0,10,0,268,20,51,40,73,2,10,0,92,9,0,0,0,0,0,0,0,0,5,0,0,0,17,1,0,0,0,0,1,0,0,12,12,0,12,0,0,0,2,1,6
Can Bozdogan,S04,BUND,M,14,648,5,9,6,0,0,0,0,1,0,1,0,8,2,7,15,2,5,2,3,1,2,13,5,7,16,154,199,1,4,40,6,38,0,0,3,0,0,5,2,0,0,0,17,1,373,11,25,62,69,1,15,0,121,14,0,0,0,0,4,0,3,3,4,1,1,0,16,0,0,0,0,0,0,0,0,4,4,0,6,0,0,0,1,0,20
Andrea Rispoli,CRO,SERI,M/D,19,646,5,14,4,4,0,0,0,0,0,0,0,4,1,5,30,8,10,1,9,1,3,6,3,8,4,175,243,8,4,22,2,16,0,1,2,1,0,2,0,0,0,0,3,0,408,11,45,28,97,3,24,0,118,19,0,0,0,0,0,0,2,0,7,0,0,0,26,0,0,0,0,0,0,0,0,12,12,0,8,0,0,1,1,0,7
Romain Del Castillo,REN,FRAN,F/M,26,638,5,21,5,2,0,0,0,5,1,3,2,16,5,3,35,15,19,6,10,4,0,30,11,12,13,245,332,8,11,48,19,73,1,0,8,3,0,8,2,0,0,0,12,0,534,30,120,70,198,1,45,0,164,6,0,0,0,0,4,2,11,10,9,1,1,0,8,0,0,0,0,0,0,0,0,3,3,0,9,0,0,2,1,0,33
Inigo Lekue,ATH,LIGA,M/D,18,634,5,13,2,1,0,0,0,0,0,0,0,2,1,4,34,6,6,0,5,1,1,9,7,17,3,251,305,6,4,41,13,29,0,0,0,0,0,2,1,0,0,0,9,0,525,5,62,49,130,5,34,0,125,25,0,0,0,0,0,0,3,0,7,0,0,0,6,3,0,0,0,0,0,0,0,19,19,0,14,0,0,2,0,0,22
Nemanja Radonjic,BSC,BUND,F/M,12,608,5,7,3,1,0,0,1,2,0,2,0,15,6,2,28,6,8,1,6,0,0,5,3,6,5,148,218,5,3,23,21,34,0,0,10,5,1,5,1,0,0,0,10,0,372,42,67,39,112,0,32,0,153,11,0,0,0,0,0,0,5,3,8,0,0,0,6,1,0,0,0,0,0,0,0,1,1,0,3,0,0,4,2,1,37
Saif-Eddine Khaoui,OM,FRAN,F/M,17,600,5,12,5,4,0,0,2,1,0,1,0,11,6,12,15,1,5,1,4,0,0,19,11,16,8,154,216,1,1,42,9,37,0,0,7,4,2,4,2,0,0,0,7,0,388,12,52,51,100,0,23,0,114,17,0,0,0,0,2,0,2,2,4,0,0,0,8,0,0,0,0,0,0,0,0,1,1,0,7,0,0,1,0,1,16
Juanmi,BET,LIGA,F/M,16,600,5,11,5,1,0,0,2,0,0,0,0,14,6,2,0,0,2,0,2,0,0,13,9,12,3,112,145,0,12,21,5,33,0,0,13,6,2,1,0,0,0,0,9,0,240,24,22,55,65,0,6,0,65,4,0,0,0,0,0,0,0,0,5,0,0,0,14,0,0,0,0,0,0,0,0,4,4,0,2,0,0,7,3,2,11
Aleix Vidal,SEV,LIGA,M/D,12,590,5,7,1,2,0,0,0,1,0,1,0,1,0,12,16,2,6,1,5,0,1,9,5,5,14,370,429,2,14,39,4,41,0,0,0,0,0,1,0,0,0,0,1,0,586,8,112,26,218,3,19,0,96,22,0,0,0,0,0,0,0,0,5,0,0,0,1,3,0,0,0,0,0,0,0,6,6,0,30,0,0,0,0,0,9
Adrien Hunou,REN,FRAN,F,20,580,5,15,5,1,0,0,4,0,0,0,0,21,10,1,1,0,6,2,6,0,0,6,3,7,8,149,189,0,9,14,1,24,0,0,17,8,4,4,2,0,0,0,4,0,275,37,66,32,109,0,9,0,65,1,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,2,2,0,1,0,0,1,4,4,3
Ki-Jana Hoever,WOL,EPL,M/D,12,574,5,7,1,1,0,0,0,0,0,0,0,1,0,9,21,2,3,0,3,0,0,14,6,4,4,227,291,2,6,45,13,37,0,0,1,0,0,0,0,0,0,0,6,0,467,12,68,40,121,1,19,0,121,17,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,22,22,0,11,0,0,1,0,0,22
Kevin,CEL,LIGA,D,8,560,5,3,1,3,0,0,0,0,0,0,0,1,0,9,11,1,0,0,0,0,0,11,5,6,11,200,269,1,5,35,3,29,0,0,0,0,0,1,0,0,0,0,2,0,437,3,32,23,84,8,11,0,104,20,0,0,0,0,0,0,0,0,2,0,0,0,7,3,0,0,0,0,1,0,0,10,10,0,10,0,0,0,0,0,8
Manuel Lanzini,WHU,EPL,F/M,17,560,5,12,4,1,0,0,1,1,0,1,0,12,3,7,3,2,11,1,9,1,0,9,2,7,10,335,370,1,2,59,6,27,0,0,7,1,0,5,2,1,0,0,9,0,479,15,105,37,204,0,6,0,68,15,0,0,0,0,1,0,1,1,0,1,0,0,5,0,0,0,0,0,0,0,0,5,5,0,9,0,0,3,1,0,13
Brandon Soppy,REN,FRAN,M/D,10,556,5,5,1,1,0,0,0,0,0,0,0,5,1,6,16,4,2,0,2,0,0,21,15,12,15,266,328,4,5,34,9,50,0,0,2,0,0,3,1,0,0,0,4,0,514,7,49,38,118,0,28,0,111,24,0,0,0,0,0,0,0,0,5,0,0,0,5,1,0,0,0,0,0,0,0,12,12,0,7,0,0,0,0,0,18
Xherdan Shaqiri,LIV,EPL,F/M,14,553,5,9,4,2,0,0,0,2,0,2,0,11,0,2,22,7,19,4,15,2,0,7,4,11,6,348,399,5,2,34,6,21,0,0,2,0,0,9,0,0,0,0,7,0,499,12,150,33,250,0,56,0,91,27,0,0,0,0,0,0,13,9,6,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,9
Ambroise Oyongo,MON,FRAN,D,13,552,5,8,2,1,0,0,1,1,0,1,0,1,1,8,12,3,3,0,2,0,2,13,6,7,7,189,238,3,6,27,1,27,0,1,1,1,1,0,0,0,0,0,2,0,386,1,40,24,92,8,22,0,88,29,0,0,0,0,0,0,0,0,2,0,0,0,11,2,0,0,0,0,1,0,0,18,18,0,14,0,0,0,0,1,6
Abdul Majeed Waris,STR,FRAN,F,15,546,5,10,5,0,0,0,1,0,0,0,0,10,3,2,10,1,1,0,1,0,0,1,1,8,19,104,127,1,3,20,6,29,0,0,8,3,1,2,0,0,0,0,12,0,235,19,28,37,73,0,10,0,74,3,1,1,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,2,1,13
Filip Krovinovic,WBA,EPL,M,11,544,5,6,2,0,0,0,0,0,0,0,0,8,2,4,11,5,5,0,3,2,0,13,10,5,12,300,360,1,9,39,8,40,0,0,1,0,0,7,2,0,0,0,5,0,454,4,98,32,193,0,21,0,86,33,0,0,0,0,3,1,6,5,3,0,0,0,11,0,0,0,0,0,0,0,0,2,2,0,15,0,0,0,0,0,9
Facundo Pellistri,ALA,LIGA,F/M,12,540,5,7,4,0,0,0,0,0,0,0,0,5,2,4,13,2,2,0,2,0,0,8,5,6,9,70,106,2,8,23,15,40,0,0,3,2,0,2,0,0,0,0,17,0,215,11,23,53,47,1,14,0,91,1,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,2,2,0,1,0,0,1,1,0,23
Benjamin Henrichs,RBL,BUND,M/D,13,536,5,8,2,3,0,0,0,1,0,1,0,5,2,8,13,4,3,2,2,0,1,12,7,8,12,229,295,4,2,43,1,27,0,0,2,1,0,3,1,0,0,0,2,0,434,11,73,24,140,1,15,0,101,27,0,0,0,0,0,0,0,0,3,0,0,0,7,1,0,0,0,0,0,0,0,7,7,0,7,0,0,0,0,0,4
Rodri,BET,LIGA,F/M,15,532,5,10,5,0,0,0,0,0,0,0,0,5,0,2,12,4,8,1,6,2,0,3,3,1,16,203,237,2,2,41,9,30,0,0,3,0,0,2,0,0,0,0,7,0,335,19,80,27,134,0,21,0,71,8,0,0,0,0,1,1,1,1,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,16
Javairo Dilrosun,BSC,BUND,F/M,12,529,5,7,5,0,0,0,0,1,0,1,0,8,1,4,9,2,5,0,3,1,0,5,3,7,11,122,161,2,1,28,11,28,0,0,4,0,0,4,1,0,0,0,7,0,269,19,43,31,79,2,14,0,80,8,0,0,0,0,0,0,1,0,4,0,0,0,7,0,0,0,0,0,0,0,0,1,1,0,12,1,0,1,0,0,18
Jorge Pombo,CAD,LIGA,M,12,518,5,7,3,1,0,0,1,0,1,0,0,14,4,2,17,2,7,1,7,0,0,7,3,9,13,133,165,2,4,34,15,39,0,0,7,3,1,7,1,0,0,0,9,0,301,11,47,38,95,0,25,0,103,11,0,0,0,0,0,0,7,7,2,0,0,0,7,1,0,0,0,0,0,0,0,3,3,0,12,0,0,0,0,1,25
Ben Johnson,WHU,EPL,D,14,517,5,9,4,1,0,0,1,0,0,0,0,3,1,11,19,3,4,1,4,0,1,11,5,6,3,133,184,3,6,29,4,24,0,0,1,1,1,2,0,0,0,0,6,0,291,2,38,23,82,3,16,1,84,21,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,6,6,0,8,0,0,0,0,1,6
Jean-Victor Makengo,UDI,SERI,M,17,514,5,12,5,1,0,0,0,0,0,0,0,4,0,5,5,0,2,0,2,0,1,8,7,12,4,151,187,0,6,27,6,24,0,0,0,0,0,4,0,0,0,0,11,0,282,8,45,36,85,1,7,0,72,7,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,6,6,0,7,0,0,0,0,0,10
Vitinha,WOL,EPL,M,19,513,5,14,5,0,0,0,0,1,0,1,0,8,4,3,14,4,12,1,9,2,0,7,3,8,5,298,330,1,0,32,8,20,0,0,3,0,0,5,4,0,0,0,3,0,411,8,80,20,195,0,21,0,68,14,0,0,0,0,3,0,9,8,4,0,0,0,8,0,0,0,0,0,0,0,0,1,1,0,9,1,0,1,1,0,12
Dario Maresic,SR,FRAN,D,8,511,5,3,0,0,0,0,0,0,0,0,0,0,0,10,3,0,1,0,1,0,2,12,7,8,1,279,334,0,10,23,0,23,0,1,0,0,0,0,0,0,0,0,2,0,406,1,39,21,85,0,8,0,66,41,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,17,17,0,38,0,1,0,0,0,0
Mariano,RMA,LIGA,F,16,507,5,11,4,0,0,0,1,0,0,0,0,15,6,0,0,0,2,0,2,0,1,4,2,8,5,73,105,0,20,11,7,36,0,0,10,6,1,5,0,0,0,0,14,0,186,31,31,50,46,0,4,0,63,2,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,3,3,0,2,0,0,13,1,1,12
Raul Garcia Carnero,VLD,LIGA,D,8,502,5,3,1,2,0,0,1,0,0,0,0,3,3,9,37,4,5,0,5,0,1,10,8,5,8,137,187,4,18,24,6,42,0,0,2,2,1,1,1,0,0,0,1,0,362,5,40,41,85,0,24,0,102,23,0,0,0,0,1,0,0,0,6,1,1,0,8,1,0,0,0,0,0,0,0,10,10,0,6,0,0,1,0,0,9
Mathew Leckie,BSC,BUND,F,17,499,5,12,4,0,0,0,0,1,0,1,0,2,1,13,8,3,6,1,5,0,0,12,3,10,3,143,183,3,15,34,7,37,0,0,2,1,0,0,0,0,0,0,10,0,322,15,40,55,81,0,9,0,84,8,0,0,0,0,0,0,0,0,6,0,0,0,10,1,0,0,0,0,0,0,0,9,9,0,8,0,0,2,0,0,15
Juan Sanchez Mino,ELC,LIGA,D,9,494,5,4,4,2,0,0,0,0,0,0,0,0,0,4,7,2,1,0,1,0,0,8,5,11,6,215,256,2,3,23,5,22,0,0,0,0,0,0,0,0,0,0,5,0,352,0,25,31,68,2,9,0,64,13,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,5,5,0,6,0,0,0,0,0,8
Ainsley Maitland-Niles,ARS,EPL,M/D,11,486,5,6,1,0,0,0,0,0,0,0,0,2,1,14,8,2,2,0,2,0,2,11,7,6,3,196,251,2,3,39,6,23,0,1,0,0,0,2,1,0,0,1,7,0,381,7,43,24,86,1,11,0,89,9,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,6,6,0,10,0,0,2,0,0,10
Janik Haberer,SCF,BUND,M,14,481,5,9,5,1,0,0,0,0,0,0,0,10,3,7,7,2,2,0,2,0,1,7,4,16,6,161,206,2,6,48,6,25,0,0,6,3,0,4,0,0,0,0,3,0,297,12,49,48,81,0,9,0,68,6,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,2,0,0,9,9,0,8,0,0,1,0,0,9
Adrian,OSA,LIGA,F,17,474,5,12,5,0,0,0,1,1,0,1,0,10,3,0,5,1,4,0,3,0,0,3,3,4,4,135,184,1,18,22,9,33,0,0,9,3,1,1,0,0,0,0,9,0,277,31,62,58,102,0,12,0,99,5,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,3,3,0,3,0,0,4,1,1,21
Cebio Soukou,DSC,BUND,M,14,454,5,9,4,2,0,0,1,0,0,0,0,9,1,3,3,2,4,0,4,0,0,12,8,8,6,93,107,2,6,28,7,31,0,0,4,1,1,5,0,0,0,0,15,0,210,5,21,44,46,0,5,0,58,5,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,4,4,0,4,0,0,1,0,1,16
Lukasz Piszczek,BVB,BUND,D,11,452,5,6,2,0,0,0,0,0,0,0,0,1,0,5,6,1,3,0,2,1,1,10,7,1,3,219,272,1,7,31,2,22,0,0,0,0,0,1,0,0,0,0,0,0,363,4,43,17,92,1,11,0,74,21,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,11,11,0,9,0,0,0,0,0,4
Tomas Vaclik,SEV,LIGA,G,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,123,0,0,31,0,1,1,0,0,0,0,0,0,0,0,0,0,0,162,0,0,1,2,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,5,2,9,6,3,1,0,0,0,0,0,0,23,0,0,0,0,0,0
Daniel Fuzato,ROM,SERI,G,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,121,0,1,40,0,1,1,0,0,0,0,0,0,0,0,0,0,0,180,0,3,0,13,0,1,0,38,13,0,0,0,0,0,0,0,0,1,0,0,0,7,2,19,13,6,0,0,0,0,2,2,1,19,0,0,0,0,0,0
Aaron,GRA,LIGA,G,5,450,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,65,145,0,1,47,0,2,0,0,0,0,0,0,0,0,0,0,0,0,187,0,19,0,32,0,6,0,81,32,0,0,0,0,0,0,0,0,0,0,0,0,8,1,16,11,5,3,0,0,0,8,8,2,40,0,0,0,0,0,0
Vanja Milinkovic-Savic,TOR,SERI,G,5,450,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,99,158,0,1,40,0,4,1,2,0,0,0,0,0,0,0,0,0,0,199,0,8,0,16,0,8,0,61,16,0,0,0,0,0,0,0,0,0,0,0,0,6,1,14,8,6,3,0,1,0,2,2,1,22,0,0,0,0,0,0
Bouna Sarr,FCB,BUND,D,8,450,5,3,1,1,0,0,0,1,0,1,0,3,0,10,12,1,3,0,2,0,0,9,8,11,7,291,323,1,8,28,12,36,0,1,0,0,0,3,0,0,0,0,4,0,470,5,62,29,136,0,12,0,77,27,0,0,0,0,0,0,0,0,2,0,0,0,9,1,0,0,0,0,0,0,0,7,7,0,12,0,0,0,0,0,20
Alfred Gomis,DIJ,FRAN,G,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,93,156,0,1,41,0,2,0,0,0,0,0,0,0,0,0,0,0,0,230,0,3,1,17,0,1,0,64,17,0,0,0,0,0,0,0,0,0,0,0,0,10,0,22,17,5,3,0,3,0,9,9,2,36,0,0,0,0,0,0
Ibrahima Diallo,BRE,FRAN,M,5,442,5,0,2,1,0,0,0,0,0,0,0,1,0,3,3,0,2,1,2,0,0,14,9,8,8,247,284,0,1,35,9,32,0,0,0,0,0,1,0,0,0,0,5,0,349,3,42,23,110,0,11,0,53,25,0,0,0,0,0,0,0,0,1,0,0,0,12,1,0,0,0,0,0,0,0,3,3,0,23,0,0,0,0,0,12
Geoffrey Kondogbia,VAL,LIGA,M/D,5,441,5,0,1,1,0,0,0,0,0,0,0,4,2,8,1,0,0,0,0,0,1,16,9,8,10,160,187,0,7,42,11,44,0,0,0,0,0,4,2,0,0,0,1,0,269,0,31,28,67,0,1,0,36,20,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,8,8,0,23,0,0,0,0,0,13
Demarai Gray,LEV,BUND,F/M,10,438,5,5,3,0,0,0,1,2,0,2,0,15,7,4,30,5,9,2,3,4,0,3,2,4,5,108,140,1,0,14,9,17,0,0,11,6,1,4,1,0,0,0,11,0,255,32,44,27,83,0,32,0,91,5,0,0,0,0,1,0,13,11,9,0,0,0,12,1,0,0,0,0,0,0,0,3,3,0,8,0,0,1,2,1,16
DeAndre Yedlin,NEW,EPL,M/D,6,437,5,1,2,0,0,0,0,0,0,0,0,2,0,7,13,1,3,0,3,0,1,9,4,4,4,87,135,1,4,16,1,18,0,0,1,0,0,1,0,0,0,0,1,0,239,5,25,13,49,3,14,0,75,7,0,0,0,0,0,0,0,0,4,0,0,0,6,1,0,0,0,0,0,0,0,14,14,0,7,0,0,1,0,0,2
Aleix Garcia,EIB,LIGA,M,11,435,5,6,5,1,0,0,0,1,0,0,1,3,1,8,26,7,12,2,5,6,0,5,4,4,1,219,250,1,6,19,1,13,0,0,0,0,0,3,1,0,0,0,1,0,315,4,63,16,132,0,28,0,57,16,0,0,0,0,2,0,19,19,3,0,0,0,10,0,0,0,0,0,0,0,0,2,2,0,22,0,0,0,0,0,2
Ibrahima Mbaye,BOL,SERI,M/D,8,427,5,3,3,2,0,0,1,0,0,0,0,1,1,1,2,0,1,0,1,0,3,6,5,3,5,136,170,0,12,26,2,25,0,0,1,1,1,0,0,0,0,0,1,0,251,3,23,22,57,1,7,0,47,14,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,9,9,0,3,0,0,1,0,1,7
Timothy Fosu-Mensah,LEV,BUND,D,6,412,5,1,3,2,0,0,0,0,0,0,0,2,1,7,9,3,2,0,2,0,3,4,2,5,4,270,307,3,8,24,3,19,0,0,2,1,0,0,0,0,0,0,3,0,408,4,50,14,138,2,14,0,65,24,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,2,2,0,11,0,0,0,0,0,5
Yassine Benzia,DIJ,FRAN,F,7,410,5,2,5,1,0,0,2,0,0,0,0,6,2,6,22,5,9,0,6,3,0,10,5,8,9,150,178,1,4,28,8,31,0,0,5,2,2,1,0,0,0,0,7,0,279,7,43,34,93,0,29,0,70,14,2,2,0,0,7,1,10,10,2,0,0,0,7,0,0,0,0,0,0,0,0,2,2,0,10,0,0,0,0,2,12
Raphinha,REN,FRAN,F/M,6,407,5,1,4,0,0,0,1,2,0,2,0,11,3,3,16,4,9,3,4,3,0,5,2,6,12,82,119,1,6,14,10,32,0,0,6,3,1,5,0,0,1,0,3,0,226,17,32,34,55,1,24,0,79,4,0,0,0,0,3,1,10,10,5,3,0,0,6,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,1,25
Federico Fazio,ROM,SERI,D,6,407,5,1,2,2,0,0,1,0,0,0,0,3,2,7,4,0,1,0,1,0,3,3,2,6,3,271,312,0,17,20,3,26,1,0,3,2,1,0,0,0,0,0,1,0,373,7,37,19,100,1,2,0,48,27,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,0,0,0,1,0,0,17,17,0,11,0,0,0,0,0,3
Riccardo Saponara,SPE,SERI,F/M,9,391,5,4,3,0,1,1,2,0,0,0,0,10,4,1,4,0,4,1,4,0,0,4,1,4,14,107,132,0,8,31,9,35,0,0,9,4,2,1,0,0,0,0,2,0,203,23,51,19,74,0,12,0,49,6,0,0,0,0,0,0,1,0,3,0,0,0,7,1,0,0,0,0,0,0,0,4,4,0,5,0,0,2,1,1,14
Michel Vlap,DSC,BUND,F/M,7,374,5,2,5,0,0,0,1,1,0,0,1,3,2,5,15,5,7,1,4,2,0,1,1,3,6,75,100,1,5,22,1,13,0,0,2,1,1,1,1,0,0,0,6,0,168,8,22,29,43,1,19,0,54,7,0,0,0,0,2,0,9,8,2,0,0,0,9,0,0,0,0,0,0,0,0,2,2,0,3,0,0,0,1,1,1
Waldo Rubio,VLD,LIGA,M,10,374,5,5,5,1,0,0,1,0,0,0,0,9,2,3,9,1,1,0,1,0,0,6,4,8,2,73,109,1,0,30,5,13,0,0,5,1,1,4,1,0,0,0,7,0,183,9,37,44,50,0,6,0,62,3,1,1,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,3,3,0,10,1,0,1,0,1,11
Virgil van Dijk,LIV,EPL,D,5,371,5,0,1,1,0,0,1,0,0,0,0,4,2,5,0,0,0,0,0,0,1,3,2,4,2,307,341,0,12,19,0,17,1,0,3,1,1,1,1,0,0,0,0,0,367,5,27,10,101,0,1,0,36,59,0,0,0,0,0,0,0,0,1,0,0,0,11,1,0,0,0,0,0,0,0,8,8,0,28,0,0,1,0,1,0
Domingos Quina,GRA,LIGA,M,8,342,5,3,5,1,0,0,2,0,0,0,0,8,3,2,2,0,5,0,5,0,0,5,5,5,10,68,89,0,4,20,6,25,0,0,4,2,1,4,1,1,0,0,11,0,163,8,28,23,39,0,8,0,44,3,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,7
Sergio Gomez,HUE,LIGA,D,29,771,4,25,3,1,0,0,0,1,0,1,0,10,2,14,71,10,16,1,9,5,0,29,10,7,9,277,337,5,0,47,18,56,0,0,2,1,0,8,1,0,0,0,8,0,618,8,98,42,163,2,71,0,172,16,0,0,0,0,12,2,20,16,10,2,1,0,14,1,0,0,0,0,0,0,0,7,7,0,12,1,0,1,2,0,27
Ebrima Colley,VER,SERI,F/M,23,720,4,19,3,1,0,0,1,0,0,0,0,17,7,6,12,2,8,2,7,0,0,11,4,13,18,181,241,2,2,34,18,49,0,0,14,6,1,3,1,0,0,0,19,0,419,35,90,86,149,0,16,0,139,4,0,0,0,0,0,0,0,0,8,0,0,0,10,0,0,0,0,0,0,0,0,1,1,0,3,1,0,7,3,1,31
Gonzalo Escalante,LAZ,SERI,M,24,718,4,20,5,5,0,0,0,1,0,1,0,7,3,19,4,0,2,1,1,0,3,26,13,14,8,422,476,0,12,67,8,54,0,0,2,2,0,5,1,0,0,0,2,0,601,3,70,55,218,1,7,0,68,37,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,12,12,0,21,0,0,0,1,0,9
Valentin Mihaila,PAR,SERI,F/M,16,692,4,12,3,2,0,0,3,0,0,0,0,19,10,5,14,2,7,0,7,0,1,2,1,5,8,119,173,2,3,20,14,27,0,0,13,7,3,6,3,0,0,1,6,0,315,33,43,50,78,1,19,0,112,5,0,0,0,0,0,0,2,2,5,0,0,0,21,0,0,0,0,0,0,0,0,7,7,0,5,0,0,5,2,3,28
Ilija Nestorovski,UDI,SERI,F,22,689,4,18,2,1,0,0,2,1,0,1,0,25,10,1,3,2,13,1,12,0,0,6,4,16,16,127,178,2,13,22,3,38,0,0,24,10,2,1,0,0,0,0,9,0,295,43,60,56,90,0,10,0,80,5,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,7,7,0,4,1,0,5,6,2,4
Aleksey Miranchuk,ATA,SERI,F/M,25,661,4,21,4,0,0,0,4,2,0,2,0,15,6,3,15,5,14,3,10,2,0,24,13,17,20,306,385,3,8,44,14,66,0,0,11,4,3,4,2,1,0,0,13,0,546,35,147,51,244,0,49,0,133,8,0,0,0,0,1,0,9,8,5,1,0,0,12,0,0,0,0,0,0,0,0,1,1,0,12,1,0,2,1,0,23
Daniel Bessa,VER,SERI,M,18,603,4,14,3,1,0,0,0,2,0,2,0,8,4,2,16,4,14,3,11,1,1,15,8,16,6,248,282,3,2,39,3,26,0,0,4,3,0,4,1,0,0,0,12,0,391,15,116,53,198,0,28,0,81,9,0,0,0,0,1,0,3,3,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,10,1,0,3,3,0,5
Stefano Sensi,INT,SERI,M,18,596,4,14,4,1,0,1,0,0,0,0,0,18,7,7,34,6,11,0,9,2,1,9,6,10,14,344,391,2,2,49,7,32,0,0,5,2,0,13,5,0,0,0,5,0,534,14,135,30,229,0,50,0,105,20,0,0,0,0,5,1,26,16,7,1,0,0,4,0,0,0,0,0,0,0,0,1,1,0,22,0,0,0,1,0,14
Geoffrey Kondogbia,ATM,LIGA,M/D,25,594,4,21,2,4,0,0,0,0,0,0,0,5,2,11,1,0,4,1,4,0,5,30,20,19,13,329,386,0,6,61,10,59,1,0,2,1,0,3,1,0,0,0,2,0,501,5,47,39,153,0,10,0,67,36,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,8,8,0,19,1,0,0,0,0,12
Soualiho Meite,MIL,SERI,M,16,579,4,12,2,2,0,0,0,0,1,0,0,7,3,8,1,0,5,1,5,0,2,18,10,13,14,242,285,0,12,62,9,53,0,0,1,0,0,6,3,0,0,0,11,0,414,7,68,44,141,1,11,0,66,12,0,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,0,15,15,0,16,1,0,2,0,0,12
